config,sim_num_insn,sim_cycle,sim_IPC,sim_CPI,il1_accesses,il1_hits,il1_misses,il1_miss_rate,dl1_accesses,dl1_hits,dl1_misses,dl1_miss_rate,ul2_accesses,ul2_hits,ul2_misses,ul2_miss_rate,itlb_accesses,itlb_hits,itlb_misses,itlb_miss_rate,dtlb_accesses,dtlb_hits,dtlb_misses,dtlb_miss_rate,bpred_lookups,bpred_updates,bpred_addr_rate,bpred_dir_rate
commit_1way,43774,71240,0.6145,1.6275,50701,47222,3479,0.0686,12085,11607,478,0.0396,3981,3143,838,0.2105,50701,50681,20,0.0004,12457,12447,10,0.0008,8640,7863,0.0,0.0
decode_1way,43774,85031,0.5148,1.9425,48723,45305,3418,0.0702,12370,11892,478,0.0386,3920,3087,833,0.2125,48723,48703,20,0.0004,12371,12361,10,0.0008,8095,7863,0.0,0.0
dl1_16kb_128B_2way,4,35,0.1143,8.75,6,4,2,0.3333,1,0,1,1.0,2,1,1,0.5,6,5,1,0.1667,0,0,0,0.0,0,0,0.0,0.0
dl1_16kb_128B_4way,4,35,0.1143,8.75,6,4,2,0.3333,1,0,1,1.0,2,1,1,0.5,6,5,1,0.1667,0,0,0,0.0,0,0,0.0,0.0
dl1_16kb_1way,43774,59431,0.7366,1.3577,52889,49392,3497,0.0661,12431,12162,269,0.0216,3817,2979,838,0.2195,52889,52869,20,0.0004,12579,12569,10,0.0008,9083,7863,0.0,0.0
dl1_16kb_2way,43774,59431,0.7366,1.3577,52889,49392,3497,0.0661,12431,12177,254,0.0204,3751,2913,838,0.2234,52889,52869,20,0.0004,12579,12569,10,0.0008,9083,7863,0.0,0.0
dl1_16kb_32B_2way,43774,59437,0.7365,1.3578,52889,49392,3497,0.0661,12433,11961,472,0.038,3969,3131,838,0.2111,52889,52869,20,0.0004,12581,12571,10,0.0008,9083,7863,0.0,0.0
dl1_16kb_32B_4way,43774,59437,0.7365,1.3578,52889,49392,3497,0.0661,12433,11961,472,0.038,3969,3131,838,0.2111,52889,52869,20,0.0004,12581,12571,10,0.0008,9083,7863,0.0,0.0
dl1_16kb_4way,43774,59431,0.7366,1.3577,52889,49392,3497,0.0661,12431,12177,254,0.0204,3751,2913,838,0.2234,52889,52869,20,0.0004,12579,12569,10,0.0008,9083,7863,0.0,0.0
dl1_16kb_64B_2way,43774,59431,0.7366,1.3577,52889,49392,3497,0.0661,12431,12177,254,0.0204,3751,2913,838,0.2234,52889,52869,20,0.0004,12579,12569,10,0.0008,9083,7863,0.0,0.0
dl1_16kb_8way,43774,59431,0.7366,1.3577,52889,49392,3497,0.0661,12431,12177,254,0.0204,3751,2913,838,0.2234,52889,52869,20,0.0004,12579,12569,10,0.0008,9083,7863,0.0,0.0
dl1_1kb_1way,43774,60867,0.7192,1.3905,52954,49452,3502,0.0661,12448,11241,1207,0.097,5388,4550,838,0.1555,52954,52934,20,0.0004,12603,12593,10,0.0008,9055,7863,0.0,0.0
dl1_1kb_2way,43774,59549,0.7351,1.3604,52937,49436,3501,0.0661,12430,11960,470,0.0378,4292,3454,838,0.1952,52937,52917,20,0.0004,12583,12573,10,0.0008,9083,7863,0.0,0.0
dl1_2kb_1way,43774,60077,0.7286,1.3724,52934,49433,3501,0.0661,12425,11752,673,0.0542,4583,3745,838,0.1828,52934,52914,20,0.0004,12579,12569,10,0.0008,9080,7863,0.0,0.0
dl1_2kb_2way,43774,59453,0.7363,1.3582,52889,49392,3497,0.0661,12429,12118,311,0.025,4023,3185,838,0.2083,52889,52869,20,0.0004,12579,12569,10,0.0008,9083,7863,0.0,0.0
dl1_2kb_4way,43774,59431,0.7366,1.3577,52889,49392,3497,0.0661,12431,12156,275,0.0221,3908,3070,838,0.2144,52889,52869,20,0.0004,12579,12569,10,0.0008,9083,7863,0.0,0.0
dl1_32kb_128B_2way,4,35,0.1143,8.75,6,4,2,0.3333,1,0,1,1.0,2,1,1,0.5,6,5,1,0.1667,0,0,0,0.0,0,0,0.0,0.0
dl1_32kb_128B_4way,4,35,0.1143,8.75,6,4,2,0.3333,1,0,1,1.0,2,1,1,0.5,6,5,1,0.1667,0,0,0,0.0,0,0,0.0,0.0
dl1_32kb_1way,43774,59431,0.7366,1.3577,52889,49392,3497,0.0661,12431,12177,254,0.0204,3751,2913,838,0.2234,52889,52869,20,0.0004,12579,12569,10,0.0008,9083,7863,0.0,0.0
dl1_32kb_2way,43774,59431,0.7366,1.3577,52889,49392,3497,0.0661,12431,12177,254,0.0204,3751,2913,838,0.2234,52889,52869,20,0.0004,12579,12569,10,0.0008,9083,7863,0.0,0.0
dl1_32kb_32B_2way,43774,59437,0.7365,1.3578,52889,49392,3497,0.0661,12433,11961,472,0.038,3969,3131,838,0.2111,52889,52869,20,0.0004,12581,12571,10,0.0008,9083,7863,0.0,0.0
